Unnamed: 0,core,time,section,face,ACorDC,AC_col_sp,DC_col_sp,DC_volt,note,mm_per_encode_step,num_tracks,ACDC_offset,laser_offset,Y_left,Y_right,AC_edgespace,DC_edgespace,idx1_raw,idx1_rel,idx2_rel,idx3_rel,idx_abs,xmin,xmax,header
67,ALHIC2201,2024-03-22-13-07,25_1,t,AC,10,25,1000,,0.25,7,305,-10,21.29829687,136.6728359,18,10,18.3625,0,0,0,21.28,62.3796875,826.171875,22
68,ALHIC2201,2024-03-22-12-55,25_1,t,DC,10,25,1000,,0.25,8,305,-10,21.29829687,136.6728359,18,10,18.3625,0,0,0,21.28,62.3796875,826.171875,22
69,ALHIC2201,2024-03-22-15-00,26_1,r,AC,10,25,1000,,0.25,5,305,-10,42.13324219,106.2166484,18,10,7.6234375,0,0,0,22.1,151.353125,781.346875,22
70,ALHIC2201,2024-03-22-14-51,26_1,r,DC,10,25,1000,,0.25,7,305,-10,42.13324219,106.2166484,18,10,7.6234375,0,0,0,22.1,151.353125,781.346875,22
71,ALHIC2201,2024-03-22-14-32,26_1,t,AC,10,25,1000,,0.25,7,305,-10,14.91555469,138.2171758,18,10,18.2578125,0,0,0,22.1,129.4484375,973.596875,22
72,ALHIC2201,2024-03-22-14-12,26_1,t,DC,10,25,1000,,0.25,13,305,-10,14.91555469,138.2171758,18,10,18.2578125,0,0,0,22.1,129.4484375,973.596875,22
73,ALHIC2201,2024-03-19-13-55,2_1,r,AC,10,25,1000,,0.25,5,305,-10,34.33960937,100.8955469,18,10,12.1671875,0,0,0,0.77,27.275,1087.598438,22
74,ALHIC2201,2024-03-19-13-41,2_1,r,DC,10,25,1000,,0.25,6,305,-10,34.33960937,100.8955469,18,10,12.1671875,0,0,0,0.77,27.275,1087.598438,22
75,ALHIC2201,2024-03-19-12-52,2_1,t,AC,10,25,1000,first run. changed acdc spacing,0.25,8,305,-10,2.733972656,123.5208945,18,10,6.4109375,0,0,0,0.77,29.209375,825.440625,22
76,ALHIC2201,2024-03-19-13-16,2_1,t,DC,10,25,1000,,0.25,9,305,-10,4.259957031,123.7039531,18,10,5.0484375,0,0,0,0.77,26.059375,822.8421875,22
77,ALHIC2201,2024-03-19-15-32,4_2,r,AC,10,25,1000,,0.25,4,305,-10,38.92996484,103.8616914,18,10,216.8078125,0,0,0,2.58,223.3453125,896.2734375,22
78,ALHIC2201,2024-03-19-15-17,4_2,r,DC,10,25,1000,,0.25,5,305,-10,38.92996484,103.8616914,18,10,216.8078125,0,0,0,2.58,223.3453125,896.2734375,22
79,ALHIC2201,2024-03-19-14-51,4_2,t,AC,10,25,1000,,0.25,8,305,-10,22.45022656,142.6195117,18,10,166.16875,0,0,0,2.58,203.0828125,854.896875,22
80,ALHIC2201,2024-03-19-14-33,4_2,t,DC,10,25,1000,,0.25,9,305,-10,21.52401953,142.5039219,18,10,164.4234375,0,0,0,2.58,202.6484375,854.621875,22
81,ALHIC2201,2024-03-20-08-36,5_1,r,AC,10,25,1000,,0.25,5,305,-10,39.29806641,104.5234805,17,10,4.6875,0,0,0,3.27,45.5984375,1113.35625,22
82,ALHIC2201,2024-03-20-08-25,5_1,r,DC,10,25,1000,,0.25,6,305,-10,39.29806641,104.5234805,17,10,4.6875,0,0,0,3.27,45.5984375,1113.35625,22
83,ALHIC2201,2024-03-19-16-15,5_1,t,AC,10,25,1000,,0.25,9,305,-10,24.16621484,138.2275937,17,10,11.48125,0,0,0,3.27,18.290625,1132.451563,22
84,ALHIC2201,2024-03-19-15-51,5_1,t,DC,10,25,1000,,0.25,10,305,-10,23.76041016,137.4541836,17,10,11.971875,0,0,0,3.27,15.2109375,1138.832813,22
85,ALHIC2201,2024-03-20-10-14,7_1,r,AC,10,25,1000,,0.25,5,305,-10,39.09615625,102.8868672,17,10,17.6125,0,0,0,4.66,17.609375,1011.528125,22
86,ALHIC2201,2024-03-20-10-03,7_1,r,DC,10,25,1000,,0.25,5,305,-10,39.09615625,102.8868672,17,10,17.6125,0,0,0,4.66,17.609375,1011.528125,22
87,ALHIC2201,2024-03-20-09-08,7_1,t,AC,10,25,1000,,0.25,8,305,-10,22.38920703,140.843,17,10,22.8671875,0,0,0,4.66,33.578125,1004.628125,22
88,ALHIC2201,2024-03-20-08-48,7_1,t,DC,10,25,1000,,0.25,11,305,-10,22.38920703,140.843,17,10,22.8671875,0,0,0,4.66,33.578125,1004.628125,22
89,ALHIC2201,2024-03-20-09-43,8_1,t,AC,10,25,1000,,0.25,8,305,-10,27.162125,136.8400195,17,10,56.4765625,0,0,0,5.69,87.0734375,957.4390625,22
90,ALHIC2201,2024-03-20-09-29,8_1,t,DC,10,25,1000,,0.25,8,305,-10,27.162125,136.8400195,17,10,56.4765625,0,0,0,5.69,87.0734375,957.4390625,22
91,ALHIC2201,2024-03-20-12-02,9_1,r,AC,10,25,1000,,0.25,6,305,-10,34.06923828,100.2203633,10,10,9.04375,0,0,0,6.56,264.1171875,899.8125,22
92,ALHIC2201,2024-03-20-11-45,9_1,r,DC,10,25,1000,,0.25,5,305,-10,34.06923828,100.2203633,14,10,9.04375,0,0,0,6.56,264.1171875,899.8125,22
93,ALHIC2201,2024-03-20-10-58,9_1,t,AC,10,25,1000,,0.25,7,305,-10,26.28552734,139.5794492,17,10,28.4640625,0,0,0,6.56,43.665625,1044.301563,22
94,ALHIC2201,2024-03-20-10-41,9_1,t,DC,10,25,1000,,0.25,10,305,-10,26.28552734,139.5794492,17,10,28.4640625,0,0,0,6.56,43.665625,1044.301563,22
95,ALHIC2302,2024-07-17-09-58,10,l,AC,10,25,1000,,0.25,7,305,-10,43.23109766,169.4775312,18,10,23.44375,,0,0,8.46,35.0796875,837.7984375,22
96,ALHIC2302,2024-07-17-09-44,10,l,DC,10,25,1000,,0.25,8,305,-10,43.23109766,169.4775312,18,10,23.44375,0,0,0,8.46,35.0796875,837.7984375,22
97,ALHIC2302,2024-07-17-08-54,10,t,AC,10,25,1000,,0.25,7,305,-10,54.48200781,182.1373477,18,10,29.4328125,0,0,0,8.46,59.3796875,827.8703125,22
98,ALHIC2302,2024-07-17-08-28,10,t,DC,10,25,1000,lots of small cracks. largest lengthwise down middle of core.,0.25,8,305,-10,54.48200781,182.1373477,18,10,29.4328125,0,0,0,8.46,59.3796875,827.8703125,22
99,ALHIC2302,2024-07-17-09-21,11,t,AC,10,25,1000,,0.25,7,305,-10,23.11945703,153.035,18,10,1.7046875,0,0,0,9.37,22.596875,1018.810938,22
